Time [s], Analyzer Name, Decoded Protocol Result
2.293562250000000,I2C,Setup Write to [0x50] + ACK
2.293658333333333,I2C,0xFF + ACK
2.293753500000000,I2C,0xFC + ACK
2.293879083333333,I2C,Setup Read to [0x51] + ACK
2.293973916666667,I2C,0x01 + ACK
2.294070000000000,I2C,0x00 + NAK
2.294207083333333,I2C,Setup Write to [0x50] + ACK
2.294348583333333,I2C,Setup Write to [0x50] + ACK
2.294444666666667,I2C,0xFF + ACK
2.294539833333333,I2C,0xEE + ACK
2.294665416666667,I2C,Setup Read to [0x51] + ACK
2.294760250000000,I2C,0x01 + ACK
2.294856333333333,I2C,0x01 + NAK
2.294998416666667,I2C,Setup Write to [0x50] + ACK
2.295534750000000,I2C,Setup Write to [0x50] + ACK
2.295630750000000,I2C,0xFF + ACK
2.295725916666667,I2C,0xE0 + ACK
2.295823250000000,I2C,0x4E + ACK
2.295918250000000,I2C,0x00 + ACK
2.296068833333333,I2C,Setup Write to [0x50] + ACK
2.296164833333334,I2C,0xFF + ACK
2.296260000000000,I2C,0xFE + ACK
2.296355166666667,I2C,0x80 + ACK
2.296450250000000,I2C,0x00 + ACK
2.296605750000000,I2C,Setup Write to [0x50] + ACK
2.296701750000000,I2C,0x2A + ACK
2.296796916666667,I2C,0x98 + ACK
2.296892083333333,I2C,0x50 + ACK
2.296987166666667,I2C,0x06 + ACK
2.297137750000000,I2C,Setup Write to [0x50] + ACK
2.297233833333333,I2C,0x28 + ACK
2.297329000000000,I2C,0x14 + ACK
2.297424083333333,I2C,0x00 + ACK
2.297519250000000,I2C,0x00 + ACK
2.297669833333333,I2C,Setup Write to [0x50] + ACK
2.297765833333334,I2C,0xFF + ACK
2.297861000000000,I2C,0xE0 + ACK
2.297956166666667,I2C,0x00 + ACK
2.298051250000000,I2C,0x00 + ACK
2.298391666666667,I2C,Setup Write to [0x50] + ACK
2.298487750000000,I2C,0x00 + ACK
2.298582916666667,I2C,0x00 + ACK
2.298678083333333,I2C,0xD2 + ACK
2.298773250000000,I2C,0x76 + ACK
2.298868333333334,I2C,0x00 + ACK
2.298963500000000,I2C,0x00 + ACK
2.299058666666667,I2C,0x85 + ACK
2.299153750000000,I2C,0x01 + ACK
2.299248833333333,I2C,0x01 + ACK
2.299343916666666,I2C,0xE1 + ACK
2.299439083333333,I2C,0x03 + ACK
2.299534250000000,I2C,0x00 + ACK
2.299629416666667,I2C,0x0F + ACK
2.299724500000000,I2C,0x20 + ACK
2.299819666666667,I2C,0x00 + ACK
2.299914833333333,I2C,0xF9 + ACK
2.300010000000000,I2C,0x00 + ACK
2.300105083333333,I2C,0xF6 + ACK
2.300200083333333,I2C,0x04 + ACK
2.300295250000000,I2C,0x06 + ACK
2.300390416666667,I2C,0xE1 + ACK
2.300485583333333,I2C,0x04 + ACK
2.300580750000000,I2C,0x0B + ACK
2.300675833333333,I2C,0xDF + ACK
2.300771000000000,I2C,0x00 + ACK
2.300866166666667,I2C,0x00 + ACK
2.300961250000000,I2C,0xE1 + ACK
2.301056416666666,I2C,0x04 + ACK
2.301151500000000,I2C,0x00 + ACK
2.301246583333334,I2C,0x14 + ACK
2.301341750000000,I2C,0xD1 + ACK
2.301436916666667,I2C,0x01 + ACK
2.301667500000000,I2C,Setup Write to [0x50] + ACK
2.301763583333333,I2C,0x00 + ACK
2.301858666666666,I2C,0x1E + ACK
2.301953833333333,I2C,0x10 + ACK
2.302049000000000,I2C,0x54 + ACK
2.302144083333333,I2C,0x02 + ACK
2.302239166666667,I2C,0x65 + ACK
2.302334250000000,I2C,0x6E + ACK
2.302429416666667,I2C,0x48 + ACK
2.302524583333333,I2C,0x65 + ACK
2.302619750000000,I2C,0x6C + ACK
2.302714916666667,I2C,0x6C + ACK
2.302810000000000,I2C,0x6F + ACK
2.302905166666667,I2C,0x2C + ACK
2.303000333333333,I2C,0x20 + ACK
2.303095416666667,I2C,0x77 + ACK
2.303190583333333,I2C,0x6F + ACK
2.303285750000000,I2C,0x72 + ACK
2.303380916666667,I2C,0x6C + ACK
2.303476000000000,I2C,0x64 + ACK
2.303571166666667,I2C,0x21 + ACK
2.303721750000000,I2C,Setup Write to [0x50] + ACK
2.303817833333333,I2C,0xFF + ACK
2.303912916666667,I2C,0xFA + ACK
2.304008083333333,I2C,0x06 + ACK
2.304103250000000,I2C,0x00 + ACK
2.304253833333333,I2C,Setup Write to [0x50] + ACK
2.304349916666667,I2C,0xFF + ACK
2.304445000000000,I2C,0xFE + ACK
2.304540166666667,I2C,0x16 + ACK
2.304635333333333,I2C,0x00 + ACK
2.305210083333333,I2C,Setup Write to [0x50] + ACK
2.305306083333333,I2C,0xFF + ACK
2.305401250000000,I2C,0xFC + ACK
2.305526833333333,I2C,Setup Read to [0x51] + ACK
2.305621666666667,I2C,0x01 + ACK
2.305717750000000,I2C,0x00 + NAK
2.305854916666667,I2C,Setup Write to [0x50] + ACK
2.305996416666667,I2C,Setup Write to [0x50] + ACK
2.306092416666667,I2C,0xFF + ACK
2.306187583333333,I2C,0xFE + ACK
2.306313166666667,I2C,Setup Read to [0x51] + ACK
2.306408000000000,I2C,0x16 + ACK
2.306504083333333,I2C,0x00 + NAK
2.306641250000000,I2C,Setup Write to [0x50] + ACK
2.306792750000000,I2C,Setup Write to [0x50] + ACK
2.306888750000000,I2C,0xFF + ACK
2.306983916666667,I2C,0xFE + ACK
2.307079083333333,I2C,0x14 + ACK
2.307174250000000,I2C,0x00 + ACK
2.307329750000000,I2C,Setup Write to [0x50] + ACK
2.307425833333333,I2C,0x00 + ACK
2.307520916666667,I2C,0x1A + ACK
2.307616083333333,I2C,0x00 + ACK
2.307711250000000,I2C,0x11 + ACK
2.307946666666667,I2C,Setup Write to [0x50] + ACK
2.308042750000000,I2C,0x00 + ACK
2.308137833333333,I2C,0x1C + ACK
2.308233000000000,I2C,0xD1 + ACK
2.308328083333334,I2C,0x01 + ACK
2.308423166666667,I2C,0x0D + ACK
2.308518333333333,I2C,0x55 + ACK
2.308613416666667,I2C,0x03 + ACK
2.308708583333333,I2C,0x63 + ACK
2.308803750000000,I2C,0x6F + ACK
2.308898916666667,I2C,0x73 + ACK
2.308994000000000,I2C,0x79 + ACK
2.309089166666667,I2C,0x74 + ACK
2.309184333333334,I2C,0x65 + ACK
2.309279500000000,I2C,0x63 + ACK
2.309374583333333,I2C,0x68 + ACK
2.309469583333333,I2C,0x2E + ACK
2.309564750000000,I2C,0x6E + ACK
2.309659916666666,I2C,0x65 + ACK
2.309755083333333,I2C,0x74 + ACK
2.309895583333333,I2C,Setup Write to [0x50] + ACK
2.309991666666667,I2C,0xFF + ACK
2.310086750000000,I2C,0xFE + ACK
2.310212333333333,I2C,Setup Read to [0x51] + ACK
2.310307166666667,I2C,0x14 + ACK
2.310403250000000,I2C,0x00 + NAK
2.310540416666667,I2C,Setup Write to [0x50] + ACK
2.310691916666667,I2C,Setup Write to [0x50] + ACK
2.310788000000000,I2C,0xFF + ACK
2.310883083333333,I2C,0xFE + ACK
2.310978250000000,I2C,0x16 + ACK
2.311073416666667,I2C,0x00 + ACK
2.311213916666667,I2C,Setup Write to [0x50] + ACK
2.311310000000000,I2C,0xFF + ACK
2.311405083333333,I2C,0xFE + ACK
2.311530666666667,I2C,Setup Read to [0x51] + ACK
2.311625500000000,I2C,0x16 + ACK
2.311721583333334,I2C,0x00 + NAK
2.311858750000000,I2C,Setup Write to [0x50] + ACK
2.312010166666667,I2C,Setup Write to [0x50] + ACK
2.312106166666667,I2C,0xFF + ACK
2.312201333333333,I2C,0xFE + ACK
2.312296500000000,I2C,0x14 + ACK
2.312391583333334,I2C,0x00 + ACK
